id,room_type,accommodates,bathrooms,bedrooms,minimum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_value,wifi,parking,dryer,washer,kitchen,property_agg,log_price,superhost_t
30499109,3,3,1.0,2.0,30,4.499809670330265,0.0,5.0,5.0,5.0,1,1,1,0,1,5,5.272999558563747,0
30504880,3,16,0.5,2.0,30,5.8998973535824915,1.0986122886681098,4.33,4.67,4.33,1,0,1,0,0,1,5.857933154483459,0
30511301,3,4,1.0,2.0,30,5.41610040220442,3.58351893845611,4.83,4.86,4.67,1,1,1,1,1,5,5.187385805840755,1
30531246,3,2,1.0,1.0,30,3.6375861597263857,3.6375861597263857,4.82,4.87,4.82,1,1,1,1,1,5,5.44673737166631,1
30537849,3,4,1.0,1.0,30,4.060443010546419,3.4965075614664802,4.97,4.94,4.91,1,1,1,1,1,5,5.521460917862246,1
30539307,2,2,1.0,1.0,30,5.823045895483019,4.442651256490317,4.74,4.84,4.69,1,1,1,0,1,1,5.298317366548036,0
30557920,2,2,1.0,0.0,30,4.454347296253507,5.69035945432406,4.39,4.61,4.41,1,0,1,1,1,3,4.30406509320417,0
30558081,3,6,1.0,2.0,30,5.820082930352362,2.6390573296152584,4.64,4.5,4.5,1,1,1,1,1,5,5.298317366548036,0
30559819,3,4,1.5,2.0,30,4.442651256490317,1.0986122886681098,5.0,5.0,4.67,1,0,1,1,1,3,5.298317366548036,0
30570342,2,2,1.0,1.0,30,4.499809670330265,4.820281565605037,4.77,4.85,4.77,1,1,1,1,1,5,4.31748811353631,0
30584992,3,2,1.0,1.0,30,5.58724865840025,3.9318256327243257,4.73,4.76,4.57,1,1,1,1,1,5,5.616771097666572,0
30585315,3,4,1.0,1.0,30,5.476463551931511,3.367295829986474,4.79,4.93,4.69,1,0,1,0,1,5,4.867534450455582,0
30662063,2,2,1.0,0.0,4,5.332718793265369,5.389071729816501,4.95,4.97,4.94,1,1,1,1,1,1,5.365976015021851,0
30685870,2,2,2.0,1.0,30,5.8998973535824915,4.564348191467836,4.85,4.92,4.86,1,1,1,0,1,5,4.1588830833596715,1
30695144,3,2,1.0,2.0,30,4.48863636973214,2.833213344056216,4.76,4.94,4.82,1,1,0,0,1,5,6.1092475827643655,0
30699302,3,1,1.0,1.0,30,4.2626798770413155,1.0986122886681098,5.0,5.0,4.67,1,0,0,0,1,5,4.3694478524670215,0
30717086,2,2,1.0,1.0,30,5.849324779946859,3.5263605246161616,4.53,4.59,4.56,1,1,1,0,1,4,3.58351893845611,0
30718403,2,4,1.0,1.0,30,5.808142489980444,4.430816798843313,4.49,4.55,4.49,1,1,1,0,1,4,3.6888794541139363,0
30764990,3,2,1.0,1.0,30,3.6375861597263857,3.5553480614894135,4.51,4.66,4.49,1,1,1,0,1,5,5.093750200806762,1
30769129,3,2,1.0,2.0,30,5.5134287461649825,4.465908118654584,4.87,4.93,4.82,1,1,1,0,1,5,5.541263545158426,0
30795672,2,1,0.0,1.0,30,5.87493073085203,3.713572066704308,4.66,4.68,4.68,1,1,1,0,1,5,3.58351893845611,1
30824853,3,6,2.0,2.0,30,5.869296913133774,5.147494476813453,4.87,4.92,4.74,1,0,1,1,1,5,5.991464547107982,1
30856398,2,1,1.0,1.0,30,5.030437921392435,3.1354942159291497,4.91,4.96,5.0,1,1,1,1,1,5,4.31748811353631,1
30999134,2,2,1.0,2.0,30,5.187385805840755,4.700480365792417,4.66,4.77,4.65,1,0,0,0,1,5,3.912023005428146,0
31023111,2,1,1.0,1.0,30,4.02535169073515,1.0986122886681098,5.0,5.0,5.0,1,1,1,0,1,5,4.290459441148391,0
31053180,3,5,1.0,2.0,90,5.8998973535824915,2.0794415416798357,5.0,5.0,4.88,1,1,1,1,1,7,6.3080984415095305,0
31075308,2,2,1.0,1.0,30,5.62040086571715,3.6375861597263857,4.5,4.63,4.5,1,1,1,1,1,1,4.859812404361672,1
31082686,3,2,1.0,2.0,30,3.970291913552122,2.8903717578961645,4.28,4.33,4.28,1,1,0,0,1,5,4.418840607796598,0
31085679,2,2,1.0,1.0,30,5.8998973535824915,3.367295829986474,4.59,4.76,4.66,1,1,1,0,1,5,4.31748811353631,0
31101814,2,2,1.0,1.0,30,5.030437921392435,1.791759469228055,5.0,5.0,4.83,1,1,1,1,1,5,4.700480365792417,0
31106666,2,2,1.0,1.0,30,5.82600010738045,3.6109179126442243,4.22,4.41,4.05,1,1,1,0,1,5,4.0943445622221,0
31121209,2,1,1.0,1.0,30,5.869296913133774,5.159055299214529,4.79,4.78,4.74,1,1,1,0,1,1,3.871201010907891,0
31127529,2,2,1.0,1.0,30,5.877735781779639,3.713572066704308,4.59,4.59,4.56,1,1,1,0,1,5,4.0943445622221,0
31165085,3,6,1.0,3.0,30,5.5134287461649825,2.833213344056216,4.88,4.94,4.94,1,1,1,1,1,5,5.298317366548036,0
31204536,1,2,1.0,1.0,30,4.948759890378168,4.584967478670572,4.72,4.79,4.63,1,1,1,1,1,3,5.003946305945459,0
31206698,3,6,1.5,2.0,30,4.6443908991413725,2.772588722239781,4.88,5.0,4.88,1,1,1,1,1,1,4.867534450455582,0
31211176,3,2,1.0,1.0,30,4.406719247264253,2.995732273553991,5.0,5.0,4.85,1,1,1,1,1,5,4.74493212836325,1
31216136,2,1,1.0,2.0,30,4.736198448394496,2.4849066497880004,5.0,5.0,4.75,1,1,1,1,1,7,4.477336814478207,1
